Stud Qu1 Qu2 Qu3 Qu4 Qu5 
1432 045 010 032 100 085 
2134 090 036 090 077 030 
3124 100 045 020 095 070 
9873 011 017 081 032 077 
5678 025 012 045 078 034 
6134 034 080 055 078 045 
7874 060 099 056 078 054 
8026 070 010 066 078 056 
9893 034 011 077 078 020 
1947 045 040 088 078 055 
2877 055 050 099 078 080 
3189 027 073 100 078 077 
4602 089 050 091 078 060 
5555 011 011 000 078 010 
6999 000 098 089 078 020 
8012 070 010 066 078 056 
9854 034 011 077 078 020 
1999 045 040 088 078 055 
2543 055 050 099 078 080 
3762 027 073 100 078 077 
4876 089 050 091 078 060 
5523 011 011 000 078 010 
6965 000 098 089 078 020 
